Seq No.,UDISE Code,School Name,School Location
1,29280704510,GHS ABBIGERE,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH4"
2,29280704810,GHS AGRAHARALAYOUT,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH4"
3,29280700198,GHS YELAHANKA (COMPOSITE),"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH4"
4,29280712302,GHS MAKALI,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH4"
5,29280707707,GJC HIGH SCHOOL SECTION HESARAGHATTA,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH4"
6,29280707226,GOVT COMPOSITE HS T.DASARAHALLI,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH4"
7,29280707017,GHS CHIKKABANAVARA,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH4"
8,29280703906,GHS RAJANUKUNTE,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH4"
9,29280700124,GKMPS AND RMSA HIGH SCHOOL Y UPANAGAR,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH4"
10,29280719835,GOVT COMPOSITE HS JAKKURU,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH4"
11,29280706321,KARNATAKA PUBLIC SCHOOLS GOVT COMPOSITE HIGH SCHOOL BAGALORE,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH4"
12,29280720721,JNANA JYOTHI PRI-UNIVERSITY COLLEGE,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH4"
13,29280707503,MORARJI DESAI RESIDENTIAL SCHOOL BCM,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH4"
14,29280707504,MORARJI DESAI RESIDENTIAL SCIENCE PU COLLEGE,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH4"
15,29280701802,SAISHANKARVIDYASHALAHIGHSCHOOL,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH4"
16,29280707705,SACRED HEART HIGH SCH,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH4"
17,29280717615,SREE GEETHA HIGH SCHOOL,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH4"
18,29280706413,SILICON INTERNATIONAL SCH BAGAL,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH4"
19,29280716604,S.N.G INTERNATIONAL PUBLIC SCHOOL KUDUREGERE COLONY,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH4"
20,29280720304,RAMAKRISHNA HPS SCHOOL M NAGAR,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH4"
21,29280503002,BEL H S JALAHALLI,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH4"
22,29280716208,SRI BASAVESHWARA RURAL HIGH SCHOOL,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH4"
23,29280708812,SRI JAGADGURU PANDITHRADYA GHS,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH4"
24,29280234506,SHARON SCHOOL,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH4"
25,29280710022,M E S KISHORA KENDRA PUBLIC SCHOOL,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH4"
26,29280719831,GOVT. MODEL HPS AND HIGH SCHOOL RMSA. AMRUTHAHALLI,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH4"
